year,month,city,searched
2017,5,万宁,263064
2017,6,万宁,276125
2017,7,万宁,353095
2017,8,万宁,335814
2017,9,万宁,279190
2017,10,万宁,307050
2017,11,万宁,288888
2017,12,万宁,321689
2018,1,万宁,350521
2018,2,万宁,386661
2018,3,万宁,330427
2018,4,万宁,326860
2018,5,万宁,370737
2018,6,万宁,322351
2018,7,万宁,313252
2018,8,万宁,313155
2018,9,万宁,251912
2018,10,万宁,314113
2018,11,万宁,282690
2018,12,万宁,335352
2019,1,万宁,348259
2019,2,万宁,378225
2019,3,万宁,305948
2019,4,万宁,278042
2019,5,万宁,274608
2019,6,万宁,242630
2019,7,万宁,323210
2019,8,万宁,325998
2019,9,万宁,223284
2019,10,万宁,257121
2019,11,万宁,233920
2019,12,万宁,290037
2020,1,万宁,315881
2020,2,万宁,223640
2020,3,万宁,233265
2020,4,万宁,236162
2020,5,万宁,259769
2020,6,万宁,259509
2020,7,万宁,372989
2020,8,万宁,374704
2020,9,万宁,324055
2020,10,万宁,299728
2020,11,万宁,272583
2020,12,万宁,318300
2021,1,万宁,324850
2021,2,万宁,320141
2021,3,万宁,368919
2021,4,万宁,418125
2021,5,万宁,489598
2021,6,万宁,458095
2021,7,万宁,541250
2021,8,万宁,398993
2021,9,万宁,410829
2021,10,万宁,394250
2021,11,万宁,349047
2021,12,万宁,477569
2022,1,万宁,654492
2022,2,万宁,629345
2022,3,万宁,518361
2022,4,万宁,425791
2022,5,万宁,441966
2022,6,万宁,547993
2022,7,万宁,658796
2022,8,万宁,445003
2022,9,万宁,335326
2022,10,万宁,260178
2022,11,万宁,307712
2022,12,万宁,480026
2023,1,万宁,789970
2023,2,万宁,590055
2023,3,万宁,571043
2023,4,万宁,578863
2023,5,万宁,523590
2023,6,万宁,498176
2023,7,万宁,587536
2023,8,万宁,516443
2023,9,万宁,370073
2023,10,万宁,349761
2023,11,万宁,312627
2023,12,万宁,468797
2011,1,三亚,474954
2011,2,三亚,463893
2011,3,三亚,499771
2011,4,三亚,473323
2011,5,三亚,460089
2011,6,三亚,488678
2011,7,三亚,507638
2011,8,三亚,466846
2011,9,三亚,445810
2011,10,三亚,462033
2011,11,三亚,468548
2011,12,三亚,493523
2012,1,三亚,538848
2012,2,三亚,605890
2012,3,三亚,545586
2012,4,三亚,481418
2012,5,三亚,467509
2012,6,三亚,447849
2012,7,三亚,494322
2012,8,三亚,462927
2012,9,三亚,403837
2012,10,三亚,441931
2012,11,三亚,445855
2012,12,三亚,471392
2013,1,三亚,500337
2013,2,三亚,491659
2013,3,三亚,503860
2013,4,三亚,622323
2013,5,三亚,505991
2013,6,三亚,456959
2013,7,三亚,907317
2013,8,三亚,867455
2013,9,三亚,759999
2013,10,三亚,818915
2013,11,三亚,811381
2013,12,三亚,924607
2014,1,三亚,1016301
2014,2,三亚,1153809
2014,3,三亚,1064059
2014,4,三亚,974241
2014,5,三亚,942821
2014,6,三亚,897491
2014,7,三亚,1012294
2014,8,三亚,1045514
2014,9,三亚,983201
2014,10,三亚,1039502
2014,11,三亚,961898
2014,12,三亚,1087947
2015,1,三亚,1148541
2015,2,三亚,1035429
2015,3,三亚,1195354
2015,4,三亚,1026415
2015,5,三亚,1006862
2015,6,三亚,1008288
2015,7,三亚,1169756
2015,8,三亚,1065346
2015,9,三亚,896978
2015,10,三亚,982778
2015,11,三亚,1035321
2015,12,三亚,1180408
2016,1,三亚,1284054
2016,2,三亚,1113733
2016,3,三亚,1119993
2016,4,三亚,997724
2016,5,三亚,1028941
2016,6,三亚,959501
2016,7,三亚,1067927
2016,8,三亚,972232
2016,9,三亚,876445
2016,10,三亚,980937
2016,11,三亚,957851
2016,12,三亚,1063178
2017,1,三亚,1126689
2017,2,三亚,1057370
2017,3,三亚,1138806
2017,4,三亚,1016714
2017,5,三亚,1200221
2017,6,三亚,1133110
2017,7,三亚,1364350
2017,8,三亚,1290927
2017,9,三亚,1085739
2017,10,三亚,1065511
2017,11,三亚,1059379
2017,12,三亚,1224208
2018,1,三亚,1383540
2018,2,三亚,1310894
