year,month,city,nums
2018,1,运城,12
2018,1,连云港,68
2018,1,通化,3
2018,1,通辽,2
2018,1,遂宁,8
2018,1,遵义,41
2018,1,邢台,26
2018,1,邯郸,67
2018,1,邵阳,9
2018,1,郑州,3291
2018,1,郴州,15
2018,1,鄂尔多斯,6
2018,1,鄂州,2
2018,1,重庆,3493
2018,1,金华,395
2018,1,钦州,7
2018,1,铁岭,1
2018,1,铜仁,6
2018,1,铜川,2
2018,1,铜陵,8
2018,1,银川,90
2018,1,锡林郭勒,1
2018,1,锡林郭勒盟,3
2018,1,锦州,23
2018,1,镇江,51
2018,1,长春,846
2018,1,长沙,2168
2018,1,长治,4
2018,1,阜新,4
2018,1,阜阳,12
2018,1,阳江,19
2018,1,阳泉,4
2018,1,阿拉善盟,1
2018,1,随州,10
2018,1,雅安,1
2018,1,青岛,2465
2018,1,鞍山,17
2018,1,韶关,17
2018,1,马鞍山,41
2018,1,驻马店,15
2018,1,鸡西,2
2018,1,鹤壁,6
2018,1,鹤岗,1
2018,1,鹰潭,3
2018,1,黄冈,19
2018,1,黄山,8
2018,1,黄石,8
2018,1,黔西南布依族苗族自治州,1
2018,1,齐齐哈尔,7
2018,1,龙岩,29
2018,2,nan,2
2018,2,万宁,1
2018,2,三亚,18
2018,2,三明,8
2018,2,三门峡,5
2018,2,上海,4883
2018,2,上饶,10
2018,2,东莞,391
2018,2,东营,31
2018,2,中山,182
2018,2,临汾,6
2018,2,临沂,238
2018,2,临沧,2
2018,2,丹东,5
2018,2,丽水,8
2018,2,丽江,2
2018,2,乌海,1
2018,2,乌鲁木齐,136
2018,2,乐山,12
2018,2,九江,19
2018,2,云浮,3
2018,2,五家渠,1
2018,2,亳州,10
2018,2,仙桃,2
2018,2,伊犁哈萨克自治州,5
2018,2,佛山,287
2018,2,佳木斯,3
2018,2,保定,54
2018,2,保山,2
2018,2,信阳,5
2018,2,六安,6
2018,2,兰州,106
2018,2,兴安盟,2
2018,2,内江,2
2018,2,凉山彝族自治州,1
2018,2,包头,33
2018,2,北京,5846
2018,2,北海,4
2018,2,十堰,25
2018,2,南京,1535
2018,2,南充,2
2018,2,南宁,319
2018,2,南平,14
2018,2,南昌,362
2018,2,南通,188
2018,2,南阳,40
2018,2,厦门,1658
2018,2,台州,402
2018,2,合肥,1074
2018,2,吉安,20
2018,2,吉林,30
2018,2,吐鲁番,1
2018,2,吕梁,6
2018,2,吴忠,1
2018,2,周口,17
2018,2,呼伦贝尔,4
2018,2,呼和浩特,59
2018,2,咸宁,3
2018,2,咸阳,31
2018,2,哈尔滨,314
2018,2,唐山,25
2018,2,商丘,21
2018,2,商洛,1
2018,2,嘉兴,145
2018,2,嘉峪关,1
2018,2,四平,4
2018,2,固原,1
2018,2,大同,21
2018,2,大庆,7
2018,2,大理白族自治州,2
2018,2,大连,424
2018,2,天水,4
2018,2,天津,1221
2018,2,天门,2
2018,2,太原,237
2018,2,威海,162
2018,2,娄底,10
2018,2,孝感,7
2018,2,宁德,22
2018,2,宁波,750
2018,2,安庆,6
2018,2,安康,7
2018,2,安阳,28
2018,2,安顺,10
2018,2,宜宾,17
2018,2,宜昌,45
2018,2,宜春,10
2018,2,宝鸡,20
2018,2,宣城,5
2018,2,宿州,3
2018,2,宿迁,15
2018,2,岳阳,18
2018,2,巴彦淖尔,2
2018,2,常州,388
2018,2,常德,21
2018,2,平顶山,8
2018,2,广安,4
2018,2,广州,3352
2018,2,廊坊,74
2018,2,延安,2
2018,2,开封,26
2018,2,张家口,6
2018,2,张掖,1
2018,2,徐州,195
2018,2,德州,27
2018,2,德阳,21
2018,2,忻州,1
2018,2,怀化,3
2018,2,恩施土家族苗族自治州,1
2018,2,惠州,87
2018,2,成都,1993
2018,2,扬州,112
2018,2,承德,6
2018,2,抚州,8
2018,2,抚顺,10
2018,2,揭阳,10
2018,2,攀枝花,2
2018,2,文山壮族苗族自治州,2
2018,2,新乡,52
2018,2,新余,1
2018,2,无锡,497
2018,2,日照,19
2018,2,昆山,2
2018,2,昆明,314
2018,2,昌吉回族自治州,1
2018,2,昭通,1
2018,2,晋中,10
2018,2,晋城,1
2018,2,普洱,2
2018,2,景德镇,7
2018,2,曲靖,6
2018,2,朝阳,11
2018,2,本溪,3
2018,2,来宾,1
2018,2,杭州,2387
2018,2,松原,1
2018,2,枣庄,24
2018,2,柳州,15
2018,2,株洲,48
2018,2,桂林,56
2018,2,梅州,5
2018,2,梧州,4
2018,2,楚雄彝族自治州,2
2018,2,榆林,3
2018,2,武汉,1944
2018,2,毕节,2
2018,2,永州,5
2018,2,永康,2
2018,2,汉中,7
2018,2,汕头,27
2018,2,汕尾,3
2018,2,江门,47
2018,2,池州,3
2018,2,沈阳,755
2018,2,沧州,16
2018,2,河池,3
2018,2,河源,17
2018,2,泉州,371
2018,2,泰安,41
2018,2,泰州,28
2018,2,泸州,7
2018,2,洛阳,182
2018,2,济南,1104
2018,2,济宁,45
2018,2,海口,52
2018,2,淄博,217
2018,2,淮北,6
2018,2,淮南,3
2018,2,淮安,20
2018,2,深圳,3851
2018,2,清远,13
2018,2,温州,264
2018,2,渭南,2
2018,2,湖州,31
2018,2,湘潭,34
2018,2,湘西土家族苗族自治州,1
2018,2,湛江,11
2018,2,滁州,8
2018,2,滨州,21
2018,2,漯河,15
2018,2,漳州,66
2018,2,潍坊,328
2018,2,潜江,2
2018,2,潮州,7
2018,2,濮阳,6
2018,2,烟台,372
2018,2,焦作,22
2018,2,牡丹江,2
2018,2,玉林,10
2018,2,玉溪,2
2018,2,珠海,105
2018,2,琼海,1
2018,2,益阳,12
2018,2,盐城,32
2018,2,盘锦,9
2018,2,眉山,13
2018,2,石嘴山,3
2018,2,石家庄,575
2018,2,石河子,14
2018,2,福州,864
2018,2,秦皇岛,17
2018,2,红河哈尼族彝族自治州,2
2018,2,绍兴,104
2018,2,绥化,2
2018,2,绵阳,55
2018,2,聊城,26
2018,2,肇庆,20
2018,2,自贡,9
2018,2,舟山,9
2018,2,芜湖,92
2018,2,苏州,2318
2018,2,茂名,20
2018,2,荆州,32
2018,2,荆门,6
2018,2,莆田,33
2018,2,莱芜,2
2018,2,菏泽,35
2018,2,萍乡,3
2018,2,营口,8
2018,2,蚌埠,10
2018,2,衡水,8
2018,2,衡阳,8
2018,2,衢州,10
2018,2,西双版纳傣族自治州,1
2018,2,西宁,12
2018,2,西安,1195
2018,2,许昌,25
2018,2,贵港,1
2018,2,贵阳,162
2018,2,资阳,4
2018,2,赣州,27
2018,2,赤峰,6
2018,2,辽阳,3
2018,2,达州,5
2018,2,运城,8
2018,2,连云港,35
2018,2,通化,2
2018,2,通辽,2
2018,2,遂宁,5
2018,2,遵义,19
2018,2,邢台,7
2018,2,邯郸,29
2018,2,邵阳,15
2018,2,郑州,1392
2018,2,郴州,20
2018,2,鄂尔多斯,7
2018,2,鄂州,1
2018,2,酒泉,2
2018,2,重庆,1996
2018,2,金华,182
2018,2,钦州,6
2018,2,铁岭,9
2018,2,铜仁,4
2018,2,铜陵,3
2018,2,银川,42
2018,2,锡林郭勒盟,1
2018,2,锦州,12
2018,2,镇江,24
2018,2,长春,183
2018,2,长沙,937
2018,2,长治,3
2018,2,阜新,4
2018,2,阜阳,11
2018,2,防城港,4
2018,2,阳江,12
2018,2,阳泉,1
2018,2,阿克苏地区,2
2018,2,随州,7
2018,2,雅安,3
2018,2,青岛,1025
2018,2,鞍山,16
2018,2,韶关,17
2018,2,马鞍山,15
2018,2,驻马店,4
2018,2,鸡西,3
2018,2,鹤壁,1
2018,2,鹰潭,4
2018,2,黄冈,15
2018,2,黄山,3
2018,2,黄石,11
2018,2,黔东南苗族侗族自治州,1
2018,2,齐齐哈尔,3
2018,2,龙岩,21
2018,3,nan,1
2018,3,七台河,1
2018,3,万宁,1
2018,3,三亚,51
2018,3,三明,21
2018,3,三门峡,7
2018,3,上海,10302
2018,3,上饶,16
2018,3,东莞,1053
2018,3,东营,29
2018,3,东阳,1
2018,3,中卫,1
2018,3,中山,475
2018,3,临汾,11
2018,3,临沂,271
2018,3,临沧,5
2018,3,丹东,8
2018,3,丽水,7
2018,3,丽江,3
2018,3,乌兰察布,3
2018,3,乌海,1
2018,3,乌鲁木齐,190
2018,3,乐山,16
2018,3,九江,69
2018,3,云浮,19
2018,3,亳州,9
2018,3,仙桃,1
2018,3,伊犁哈萨克自治州,1
2018,3,佛山,645
2018,3,佳木斯,4
2018,3,保定,55
2018,3,保山,5
2018,3,信阳,11
2018,3,儋州,3
2018,3,克拉玛依,4
2018,3,六安,9
2018,3,六盘水,3
2018,3,兰州,156
2018,3,内江,3
2018,3,凉山彝族自治州,2
2018,3,包头,66
2018,3,北京,11506
2018,3,北海,12
2018,3,十堰,50
2018,3,南京,3030
2018,3,南充,7
2018,3,南宁,685
2018,3,南平,18
2018,3,南昌,928
2018,3,南通,286
2018,3,南阳,142
2018,3,厦门,3139
2018,3,双鸭山,1
2018,3,台州,600
2018,3,合肥,2353
2018,3,吉安,13
2018,3,吉林,113
2018,3,吕梁,5
2018,3,周口,23
2018,3,呼伦贝尔,4
2018,3,呼和浩特,138
2018,3,咸宁,14
2018,3,咸阳,49
2018,3,哈密,1
2018,3,哈尔滨,643
2018,3,唐山,48
2018,3,商丘,11
2018,3,商洛,2
2018,3,嘉兴,251
2018,3,嘉峪关,2
2018,3,四平,8
2018,3,固原,1
2018,3,大同,35
2018,3,大庆,39
2018,3,大理白族自治州,8
2018,3,大连,912
2018,3,天水,14
2018,3,天津,3020
2018,3,太原,573
2018,3,威海,248
2018,3,娄底,5
2018,3,孝感,14
2018,3,宁德,23
2018,3,宁波,1696
2018,3,安庆,8
2018,3,安康,3
2018,3,安阳,47
2018,3,安顺,4
2018,3,定西,1
2018,3,宜宾,6
2018,3,宜昌,123
2018,3,宜春,16
2018,3,宝鸡,32
2018,3,宣城,10
2018,3,宿州,7
2018,3,宿迁,21
2018,3,岳阳,15
2018,3,崇左,5
2018,3,巢湖,1
2018,3,巴中,2
2018,3,巴彦淖尔,2
2018,3,常州,834
2018,3,常德,63
2018,3,平凉,1
2018,3,平顶山,13
2018,3,广东,1
2018,3,广元,6
2018,3,广安,8
2018,3,广州,10420
2018,3,庆阳,2
2018,3,廊坊,147
2018,3,延安,4
2018,3,开封,32
2018,3,张家口,7
2018,3,张家界,8
2018,3,张掖,1
2018,3,徐州,348
2018,3,德宏傣族景颇族自治州,4
2018,3,德州,39
2018,3,德阳,28
2018,3,忻州,8
2018,3,怀化,9
2018,3,惠州,204
2018,3,成都,4836
2018,3,扬州,261
2018,3,承德,8
2018,3,抚州,5
2018,3,抚顺,14
2018,3,拉萨,9
2018,3,揭阳,23
2018,3,攀枝花,1
2018,3,文山壮族苗族自治州,2
2018,3,新乡,103
2018,3,新余,6
2018,3,无锡,1055
2018,3,日照,18
2018,3,昆明,924
2018,3,昭通,6
2018,3,晋中,14
2018,3,晋城,2
2018,3,普洱,8
2018,3,景德镇,10
2018,3,曲靖,22
2018,3,朔州,7
2018,3,朝阳,13
2018,3,本溪,4
2018,3,来宾,1
2018,3,杭州,4958
2018,3,枣庄,19
2018,3,柳州,45
2018,3,株洲,96
2018,3,桂林,136
2018,3,梅州,18
2018,3,梧州,3
2018,3,楚雄彝族自治州,7
2018,3,榆林,5
2018,3,武威,1
2018,3,武汉,5919
2018,3,毕节,3
2018,3,永州,5
2018,3,汉中,1
2018,3,汕头,45
2018,3,汕尾,13
2018,3,江门,116
2018,3,池州,7
2018,3,沈阳,1549
2018,3,沧州,24
2018,3,河池,6
2018,3,河源,20
2018,3,泉州,800
2018,3,泰安,34
2018,3,泰州,33
2018,3,泸州,18
2018,3,洛阳,324
2018,3,济南,1938
2018,3,济宁,80
2018,3,济源,9
2018,3,海口,143
2018,3,淄博,348
2018,3,淮北,9
2018,3,淮南,6
2018,3,淮安,24
2018,3,深圳,12223
2018,3,清远,64
2018,3,温州,601
2018,3,渭南,5
2018,3,湖州,36
2018,3,湘潭,34
2018,3,湛江,30
2018,3,滁州,18
2018,3,滨州,21
2018,3,漯河,14
2018,3,漳州,96
2018,3,潍坊,548
2018,3,潮州,12
2018,3,濮阳,7
2018,3,烟台,683
2018,3,焦作,13
2018,3,牡丹江,21
2018,3,玉林,43
2018,3,玉溪,7
2018,3,珠海,238
2018,3,琼海,3
2018,3,白城,1
2018,3,白银,5
2018,3,百色,5
2018,3,益阳,8
2018,3,盐城,36
2018,3,盘锦,7
2018,3,眉山,14
2018,3,石嘴山,4
2018,3,石家庄,1132
2018,3,石河子,11
2018,3,福州,1585
2018,3,秦皇岛,27
2018,3,红河哈尼族彝族自治州,11
2018,3,绍兴,199
2018,3,绥化,5
2018,3,绵阳,109
2018,3,聊城,21
2018,3,肇庆,55
2018,3,肥城,1
2018,3,自贡,4
2018,3,舟山,9
2018,3,芜湖,214
2018,3,苏州,4077
2018,3,茂名,9
2018,3,荆州,50
2018,3,荆门,6
2018,3,莆田,61
2018,3,莱芜,11
2018,3,菏泽,106
2018,3,萍乡,9
2018,3,营口,15
2018,3,葫芦岛,4
2018,3,蚌埠,9
2018,3,衡水,8
2018,3,衡阳,14
2018,3,衢州,18
2018,3,襄樊,1
2018,3,西区,1
2018,3,西双版纳傣族自治州,4
2018,3,西宁,32
2018,3,西安,2486
2018,3,许昌,19
2018,3,贵港,6
2018,3,贵阳,429
2018,3,贺州,2
2018,3,资阳,2
2018,3,赣州,47
2018,3,赤峰,4
2018,3,辽阳,5
2018,3,达州,6
2018,3,运城,5
2018,3,连云港,83
2018,3,通辽,5
2018,3,遂宁,9
2018,3,遵义,27
2018,3,邢台,19
2018,3,邯郸,76
2018,3,邵阳,9
2018,3,郑州,3243
2018,3,郴州,15
2018,3,鄂尔多斯,7
2018,3,鄂州,6
2018,3,酒泉,4
2018,3,重庆,3753
2018,3,金华,326
2018,3,金昌,2
2018,3,钦州,4
2018,3,铁岭,8
2018,3,铜仁,4
2018,3,铜川,2
2018,3,铜陵,7
2018,3,银川,82
2018,3,锡林郭勒盟,2
2018,3,锦州,22
2018,3,镇江,38
2018,3,长春,486
2018,3,长沙,2095
2018,3,长治,5
2018,3,阜新,3
2018,3,阜阳,12
2018,3,防城港,6
2018,3,阳江,22
2018,3,阳泉,6
2018,3,阿克苏地区,1
2018,3,陇南,1
2018,3,随州,10
2018,3,雅安,3
2018,3,青岛,1954
2018,3,青州,1
2018,3,鞍山,22
2018,3,韶关,20
2018,3,马鞍山,54
2018,3,驻马店,11
2018,3,鸡西,2
2018,3,鹤壁,4
2018,3,鹤岗,1
2018,3,鹰潭,5
2018,3,黄冈,20
2018,3,黄山,6
2018,3,黄石,16
2018,3,黑河,3
2018,3,黔南布依族苗族自治州,1
2018,3,齐齐哈尔,4
2018,3,龙岩,31
2018,4,三亚,16
2018,4,三明,8
2018,4,三门峡,1
2018,4,上海,6772
2018,4,上饶,7
2018,4,东方,1
2018,4,东莞,438
2018,4,东营,18
2018,4,中山,237
2018,4,临汾,6
2018,4,临沂,110
2018,4,丹东,1
2018,4,丽水,9
2018,4,丽江,1
2018,4,义乌,3
2018,4,乌兰察布,1
2018,4,乌海,2
2018,4,乌鲁木齐,65
2018,4,乐山,12
2018,4,九江,20
2018,4,云浮,3
2018,4,亳州,8
2018,4,伊犁,1
2018,4,余姚,1
2018,4,佛山,275
2018,4,佳木斯,1
2018,4,保定,53
2018,4,保山,4
2018,4,信阳,7
2018,4,儋州,1
2018,4,公安,1
2018,4,六安,15
2018,4,六盘水,2
2018,4,兰州,68
2018,4,兴安盟,1
2018,4,内江,7
2018,4,凉山,1
2018,4,包头,78
2018,4,北京,6992
2018,4,北海,5
2018,4,十堰,15
2018,4,南京,1976
2018,4,南充,8
2018,4,南头镇,1
2018,4,南宁,235
2018,4,南平,11
2018,4,南昌,460
2018,4,南通,132
2018,4,南阳,28
2018,4,厦门,1943
2018,4,台州,235
2018,4,合肥,1327
2018,4,吉安,2
2018,4,吉林,28
2018,4,吐鲁番地区,1
2018,4,吕梁,1
2018,4,吴忠,1
2018,4,周口,5
2018,4,呼伦贝尔,1
2018,4,呼和浩特,60
2018,4,咸宁,6
